Numero,Wiki Friendly Name,Sestiere,lat,long,street view html,Affordability,Affordability (Scaled),Resident Services,Resident Services (Scaled),Tourism,Tourism (Scaled),User Density,User Density (Scaled),Accessibility,Reachability,Reachability (Scaled),Green Space,Green Space (Scaled),TOTAL AVERAGE,Public Services Average,Island Usage Average,Mobility
#,Island of _____,,,,,,,,,,,,,,,,,,,,,
65,Island of Panada,Cannaregio,45.440431,12.341048,https://www.google.com/maps/embed?pb=!4v1750591533921!6m8!1m7!1sj7huBrlyNTbptKW0-DJebA!2m2!1d45.44051483285394!2d12.34110983550924!3f112.44600781649737!4f-0.4138014158355361!5f0.7820865974627469,4082916.667,6.091197037,6,0.1324503311,1.337917485,8.088689307,0.03901410307,7.723530964,0,0,0,0.07255588288,0.7775718079,3.259062778,2.333739725,7.906110135,0
66,Island of San Zanipolo,Castello,45.439583,12.34353,https://www.google.com/maps/embed?pb=!4v1750591555877!6m8!1m7!1sI7Ku584WeJPgz8LDJkei9A!2m2!1d45.44120737695255!2d12.3437708940578!3f227.5368760751059!4f15.045099913343847!5f0.7820865974627469,6566666.667,3.511838826,40.5,0.8940397351,0.7867867868,8.876018876,0.009679701281,9.435190392,0,9.927272727,3.309090909,0.09103378576,0.975597051,3.857396541,1.793825204,9.155604634,1.654545455
67,Island of San Francesco de la Vigna,Castello,45.437931,12.348774,https://www.google.com/maps/embed?pb=!4v1750591580019!6m8!1m7!1sCAoSF0NJSE0wb2dLRUlDQWdJQ0VvTnFoOGdF!2m2!1d45.43835727150054!2d12.3474700794105!3f315.7030000132835!4f0.9828046506620751!5f0.7820865974627469,4140000,6.031916367,0,0,0.3959183673,9.434402332,0.007716526418,9.549741451,0,10.7,3.566666667,0.1807069207,1.936612187,4.359905572,2.656176185,9.492071891,1.783333333
68,Island of Bacini Arsenale,Castello,45.438255,12.358133,https://www.google.com/maps/embed?pb=!4v1750591621857!6m8!1m7!1sCAoSFkNJSE0wb2dLRUlDQWdJRDJtTkhoTmc.!2m2!1d45.43832949843819!2d12.35777684109128!3f45.2719541996571!4f0!5f0.7820865974627469,0,10,100,2.207505519,0.1111111111,9.841269841,0.00024084671,9.985946618,0,1.227272727,0.4090909091,0.1336800043,1.432630939,4.839491975,4.546712153,9.91360823,0.2045454545
69,Island of San Cancian,Cannaregio,45.439853,12.338017,https://www.google.com/maps/embed?pb=!4v1750591637485!6m8!1m7!1sem1oTiAHDRoYbWbLEIKDqg!2m2!1d45.43988212296874!2d12.33800119575144!3f159.37710614628898!4f-2.5227565680882265!5f0.7820865974627469,4543333.333,5.613057325,140,3.090507726,2.401590457,6.56915649,0.04375204746,7.44707238,0,0,0,0.02977601084,0.319105573,3.291271356,3.007556875,7.008114435,0
70,Island of S.M. dei Miracoli,Cannaregio,45.439218,12.339401,https://www.google.com/maps/embed?pb=!4v1750591651819!6m8!1m7!1sP4pSVvEEsaJbJ2h4ZXrzCw!2m2!1d45.43918646937049!2d12.33940303074526!3f110.48450890779688!4f-3.601367507201118!5f0.7820865974627469,4937500,5.203717807,0,0,1.333333333,8.095238095,0.02544483986,8.515296124,0,0,0,0.08435498251,0.9040211992,3.245467604,2.035913002,8.305267109,0
71,Island of San Zuane Grisostomo,Cannaregio,45.438969,12.33721,https://www.google.com/maps/embed?pb=!4v1750591668848!6m8!1m7!1s_7aJVmK1I51ZKHRAs95HnQ!2m2!1d45.43896117511841!2d12.33729290402817!3f9.16447925141708!4f-0.8596694538180287!5f0.7820865974627469,4737500,5.411416505,10,0.2207505519,1.175595238,8.320578231,0.03980699638,7.677265718,0,0,0,0.01318015864,0.1412500183,3.110180146,1.924472358,7.998921975,0
72,Island of Santa Marina,Castello,45.438304,12.339027,https://www.google.com/maps/embed?pb=!4v1750591683471!6m8!1m7!1sCAoSFkNJSE0wb2dLRUlDQWdJREVuS3ZIZWc.!2m2!1d45.4383805210634!2d12.33905227201463!3f109.95688440802232!4f-0.36008921042352426!5f0.7820865974627469,5273000,4.85530324,125,2.759381898,0.7967479675,8.861788618,0.03046284089,8.222496262,0,0,0,0.006480447691,0.06945010146,3.538345731,2.561378413,8.54214244,0
73,Island of Borgoloco,Castello,45.438106,12.340232,https://www.google.com/maps/embed?pb=!4v1750591704805!6m8!1m7!1sIVQakciWBNlhbNwxLhwdkA!2m2!1d45.43812248559068!2d12.34027536472516!3f297.18837793217864!4f-7.997989970342857!5f0.7820865974627469,6247500,3.843291332,0,0,0.40625,9.419642857,0.01649257834,9.037659693,0,0,0,0.01078872367,0.1156213257,3.202316458,1.319637553,9.228651275,0
74,Island of Santa Maria Formosa,Castello,45.437582,12.341371,https://www.google.com/maps/embed?pb=!4v1750591722691!6m8!1m7!1s7ZzjYrrAq-c2qhi0010nlA!2m2!1d45.43757972427149!2d12.34139341400901!3f153.83046121030753!4f-3.128062121884426!5f0.7820865974627469,6920000,3.144904459,10.5,0.2317880795,1.063829787,8.480243161,0.02402942037,8.59788571,1.111111111,0,0,0.005003873237,0.05362584818,3.088508338,1.143439462,8.539064436,0.5555555556
